run,elapsed_s,throughput_ops_s
1,69.726,114734
2,78.486,101929
3,72.683,110067
4,73.865,108306
5,78.735,101606
6,69.951,114366
7,75.670,105723
8,72.521,110312
9,80.922,98861
10,78.136,102386
