run,elapsed_s,throughput_ops_s
1,73.021,109558
2,72.422,110464
3,80.881,98911
4,74.265,107723
5,82.027,97529
6,76.343,104791
7,80.693,99141
8,68.950,116026
9,72.748,109969
10,72.765,109943
