run,elapsed_s,throughput_ops_s
1,63.332,126319
2,60.723,131746
3,71.824,111384
4,64.439,124149
5,64.638,123766
6,62.343,128322
7,61.566,129943
8,71.184,112385
9,68.809,116264
10,63.313,126357
