run,elapsed_s,throughput_ops_s
1,74.011,108092
2,76.097,105129
3,74.720,107066
4,73.001,109588
5,72.718,110013
6,75.302,106238
7,74.353,107596
8,76.537,104525
9,74.294,107681
10,68.456,116863
