run,elapsed_s,throughput_ops_s
1,72.503,110340
2,70.043,114215
3,70.851,112912
4,71.661,111636
5,71.561,111793
6,81.953,97617
7,72.937,109683
8,74.438,107472
9,72.588,110211
10,76.970,103936
