threads,niter,nrep,bsize,elapsed_s,throughput_ops_s
1,50000,50,64,0.098491,50766042.000000
2,50000,50,64,0.101858,98176251.000000
4,50000,50,64,0.105523,189531840.000000
8,50000,50,64,0.186292,214717250.000000
14,50000,50,64,0.163265,428751424.000000
16,50000,50,64,0.186686,428526341.000000
28,50000,50,64,0.815702,171631254.000000
56,50000,50,64,1.594047,175653526.000000
