threads,niter,nrep,bsize,elapsed_s,throughput_ops_s
1,50000,50,64,0.037133,134652914.000000
2,50000,50,64,0.094727,105566269.000000
4,50000,50,64,0.042699,468393487.000000
8,50000,50,64,0.044010,908880214.000000
14,50000,50,64,0.079462,880927730.000000
16,50000,50,64,0.105257,760046780.000000
28,50000,50,64,0.675147,207362237.000000
56,50000,50,64,0.986128,283938817.000000
