threads,niter,nrep,bsize,elapsed_s,throughput_ops_s
1,50000,50,64,0.070012,71416250.000000
2,50000,50,64,0.072341,138234659.000000
4,50000,50,64,0.075194,265980232.000000
8,50000,50,64,0.082801,483083829.000000
14,50000,50,64,0.160508,436114649.000000
16,50000,50,64,0.129842,616135201.000000
28,50000,50,64,0.474342,295145558.000000
56,50000,50,64,0.657464,425878889.000000
